TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06037554515,2014,3827,0.467
06037554516,2014,3777,0.561
06037554517,2014,4529,0.510
06037554518,2014,5413,0.675
06037554519,2014,3528,0.635
06037554521,2014,5985,1.866
06037554522,2014,5246,0.831
06037554600,2014,4632,0.408
06037554700,2014,5047,0.310
06037554801,2014,3555,0.349
06037554802,2014,6305,0.592
06037554900,2014,6838,0.679
06037555001,2014,5672,0.487
06037555002,2014,3191,0.342
06037555102,2014,6922,0.573
06037555103,2014,4506,0.370
06037555104,2014,4062,0.325
06037555202,2014,3441,0.407
06037555211,2014,5524,0.306
06037555212,2014,4893,0.262
06037570001,2014,4522,0.592
06037570002,2014,2944,0.301
06037570003,2014,4788,0.442
06037570100,2014,3400,0.447
06037570202,2014,6374,0.643
06037570203,2014,3620,0.502
06037570204,2014,3936,0.212
06037570301,2014,7393,0.448
06037570303,2014,4260,0.231
06037570304,2014,5070,0.211
06037570402,2014,3449,0.551
06037570403,2014,5109,0.220
06037570404,2014,3295,0.314
06037570501,2014,7931,0.574
06037570502,2014,6470,0.772
06037570601,2014,5201,0.301
06037570602,2014,6695,0.403
06037570603,2014,4827,0.283
06037570701,2014,6349,0.683
06037570702,2014,2442,0.261
06037570800,2014,5841,0.928
06037570901,2014,5637,0.702
06037570902,2014,3946,0.407
06037571000,2014,5861,0.676
06037571101,2014,4823,0.510
06037571102,2014,3622,0.485
06037571200,2014,8029,1.013
06037571300,2014,4304,0.789
06037571400,2014,4725,0.830
06037571502,2014,4598,0.531
06037571503,2014,3620,0.351
06037571504,2014,4801,0.593
06037571600,2014,1933,0.112
06037571701,2014,6484,0.660
06037571703,2014,3676,0.154
06037571704,2014,3808,0.186
06037571800,2014,3155,1.012
06037571900,2014,5934,0.752
06037572001,2014,5436,0.558
06037572002,2014,5407,0.404
06037572100,2014,1070,0.261
06037572201,2014,7207,0.592
06037572202,2014,3681,0.587
06037572301,2014,3885,0.315
06037572302,2014,3967,0.272
06037572400,2014,1102,0.213
06037572500,2014,3315,0.229
06037572600,2014,5388,0.473
06037572700,2014,5449,0.388
06037572800,2014,1100,0.415
06037572900,2014,5314,0.269
06037573002,2014,3923,0.126
06037573003,2014,2054,0.155
06037573004,2014,4809,0.160
06037573100,2014,7500,0.440
06037573201,2014,5224,0.232
06037573202,2014,6327,0.251
06037573300,2014,4325,0.304
06037573401,2014,1346,0.401
06037573402,2014,6879,1.144
06037573403,2014,3175,0.653
06037573601,2014,6252,1.430
06037573700,2014,4891,0.704
06037573800,2014,4511,0.593
06037573902,2014,2165,0.262
06037574000,2014,5526,0.702
06037574100,2014,5449,0.706
06037574201,2014,3054,0.493
06037574202,2014,2249,0.523
06037574300,2014,5924,0.949
06037574400,2014,5389,1.283
06037574500,2014,6084,0.969
06037574601,2014,2185,0.501
06037574602,2014,1214,0.220
06037574700,2014,169,0.162
06037574800,2014,2910,0.428
06037574901,2014,3843,0.518
06037574902,2014,4741,0.311
06037575001,2014,3999,0.365
06037575002,2014,4898,0.373
06037575101,2014,4387,0.163
