optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,40.0,0.001,160.0,270.0,143.6426544189453
Adagrad,0.05,40.0,0.01,160.0,270.0,124.38600158691406
Adagrad,0.05,30.0,0.0001,160.0,270.0,182.91864013671875
Adagrad,0.05,30.0,0.001,160.0,270.0,153.75486755371094
Adagrad,0.05,30.0,0.01,160.0,270.0,124.86000061035156
Adagrad,0.05,20.0,0.0001,160.0,270.0,271.8856506347656
Adagrad,0.05,20.0,0.001,160.0,270.0,415.8170471191406
Adagrad,0.05,20.0,0.01,160.0,270.0,137.86856079101562
Adagrad,0.05,10.0,0.0001,160.0,270.0,183.3664093017578
Adagrad,0.05,10.0,0.001,160.0,270.0,143.80813598632812
Adagrad,0.05,10.0,0.01,160.0,270.0,127.8539810180664
Adagrad,0.05,190.0,0.0001,128.0,270.0,148.42889404296875
Adagrad,0.05,190.0,0.01,128.0,270.0,117.65338897705078
Adagrad,0.05,190.0,0.001,128.0,270.0,147.6509552001953
Adagrad,0.05,180.0,0.0001,128.0,270.0,248.4998779296875
Adagrad,0.05,180.0,0.001,128.0,270.0,145.31735229492188
Adagrad,0.05,180.0,0.01,128.0,270.0,121.60163879394533
Adagrad,0.05,170.0,0.0001,128.0,270.0,144.9415283203125
Adagrad,0.05,170.0,0.001,128.0,270.0,145.41294860839844
Adagrad,0.05,170.0,0.01,128.0,270.0,122.83441162109376
Adagrad,0.05,160.0,0.0001,128.0,270.0,198.66189575195312
Adagrad,0.05,160.0,0.001,128.0,270.0,143.58702087402344
Adagrad,0.05,160.0,0.01,128.0,270.0,118.86573791503906
Adagrad,0.05,150.0,0.0001,128.0,270.0,182.366943359375
Adagrad,0.05,150.0,0.001,128.0,270.0,150.05746459960938
Adagrad,0.05,150.0,0.01,128.0,270.0,119.1205596923828
Adagrad,0.05,140.0,0.0001,128.0,270.0,146.8916778564453
Adagrad,0.05,140.0,0.001,128.0,270.0,143.4945831298828
Adagrad,0.05,140.0,0.01,128.0,270.0,120.7969970703125
Adagrad,0.05,130.0,0.0001,128.0,270.0,290.3697204589844
Adagrad,0.05,130.0,0.001,128.0,270.0,141.09812927246094
Adagrad,0.05,130.0,0.01,128.0,270.0,117.31856536865234
Adagrad,0.05,120.0,0.0001,128.0,270.0,149.47291564941406
Adagrad,0.05,120.0,0.001,128.0,270.0,148.99545288085938
Adagrad,0.05,120.0,0.01,128.0,270.0,117.43067932128906
Adagrad,0.05,110.0,0.01,128.0,270.0,119.2918930053711
Adagrad,0.05,110.0,0.0001,128.0,270.0,147.43482971191406
Adagrad,0.05,110.0,0.001,128.0,270.0,138.55453491210938
Adagrad,0.05,100.0,0.0001,128.0,270.0,138.5428924560547
Adagrad,0.05,100.0,0.001,128.0,270.0,144.8834991455078
Adagrad,0.05,100.0,0.01,128.0,270.0,122.79522705078124
Adagrad,0.05,90.0,0.0001,128.0,270.0,143.33773803710938
Adagrad,0.05,90.0,0.001,128.0,270.0,145.38031005859375
Adagrad,0.05,90.0,0.01,128.0,270.0,119.5777587890625
Adagrad,0.05,80.0,0.0001,128.0,270.0,152.74778747558594
Adagrad,0.05,80.0,0.001,128.0,270.0,146.0960235595703
Adagrad,0.05,80.0,0.01,128.0,270.0,116.14041900634766
Adagrad,0.05,70.0,0.0001,128.0,270.0,501.33837890625
Adagrad,0.05,70.0,0.001,128.0,270.0,145.24728393554688
Adagrad,0.05,70.0,0.01,128.0,270.0,120.20404815673828
Adagrad,0.05,60.0,0.0001,128.0,270.0,327.5453796386719
